Tên vật phẩm,Chỉ số cơ bản,Số lần nâng cấp,Yêu cầu,Phân loại,Job,Máy xổ số
Cuộn giấy áo choàng tăng nội lực 60%,60%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy áo choàng tăng trí tuệ 70%,70%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy áo choàng tăng may mắn 70%,70%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy hoa tai tăng trí tuệ 70%,70%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy hoa tai tăng khéo léo 70%,70%,,,Scroll,,Rừng ngủ say
Cuộn giấy găng tay tăng khéo léo 60%,60%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy găng tay tăng khéo léo 70%,70%,,,Scroll,,Rừng ngủ say
Cuộn giấy găng tay tăng sinh lực 60%,60%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy mũ tăng chính xác 70%,70%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy mũ tăng khéo léo 70%,70%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy mũ tăng sinh lực 70%,70%,,,Scroll,,Rừng ngủ say
Cuộn giấy áo toàn thân tăng phòng thủ 60%,60%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy mũ tăng phòng thủ 70%,70%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy áo toàn thân tăng phòng thủ 70%,70%,,,Scroll,,Rừng ngủ say
Cuộn giấy áo toàn thân tăng khéo léo 60%,60%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy áo toàn thân tăng khéo léo 70%,70%,,,Scroll,,Rừng ngủ say
Cuộn giấy áo toàn thân tăng trí tuệ 60%,60%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy áo toàn thân tăng trí tuệ 70%,70%,,,Scroll,,Rừng ngủ say
Cuộn giấy áo toàn thân tăng may mắn 60%,60%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy áo toàn thân tăng may mắn 70%,70%,,,Scroll,,Rừng ngủ say
Cuộn giấy áo toàn thân tăng sức mạnh 60%,60%,,,Scroll,,Rừng ngủ say
Cuộn giấy trang bị thú cưng tăng lực nhảy 60%,60%,,,Scroll,,Rừng ngủ say
Cuộn giấy trang bị thú cưng tăng tốc độ 60%,60%,,,Scroll,,Rừng ngủ say
(Quỷ) Cuộn giấy khiên tăng tấn công vật lý 70%,70%,,,Scroll,,Rừng ngủ say
Cuộn giấy giày tăng khéo léo 60%,60%,,,Scroll,,Rừng ngủ say
Cuộn giấy giày tăng lực nhảy 60%,60%,,,Scroll,,Rừng ngủ say
Cuộn giấy giày tăng tốc độ 60%,60%,,,Scroll,,Rừng ngủ say
Cuộn giấy áo tăng sức mạnh 60%,60%,,,Scroll,,Rừng ngủ say
Advanced Equip Enhancement Scroll,,,,Scroll,,Rừng ngủ say
Hoa tai lá pha lê,+M.ATT,6,LV: 40,Hoa tai,FULL,Rừng ngủ say
Găng tay giữ nhiệt,+M.ATT,5,LV: 50,Găng tay,FULL,Rừng ngủ say
Áo choàng thiên lang,+SPEED,5,LV: 50,Áo choàng,FULL,Rừng ngủ say
Đũa băng,Tự vào game xem đi,7,LV: 70,Vũ khí,Magician,Rừng ngủ say
Quạt,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,FULL,Rừng ngủ say
Xiên nướng khoai,Tự vào game xem đi,7,LV: 75,Vũ khí,FULL,Rừng ngủ say
Ván lướt sóng đỏ,Tự vào game xem đi,7,LV: 95,Vũ khí,FULL,Rừng ngủ say
Gậy phép tảng băng,Tự vào game xem đi,7,LV: 130,Vũ khí,Magician,Rừng ngủ say
Thuốc tiên,,,,Use,,Thánh địa nấm
Phô mai tan,,,,Use,,Thánh địa nấm
Dưa hấu,,,,Use,,Thánh địa nấm
Rượu táo đỏ,,,,Use,,Thánh địa nấm
(Quỷ) Cuộn giấy quần tăng khéo léo 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy quần tăng lực nhảy 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy quần tăng phòng thủ 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy quần tăng sinh lực 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy cung tăng tấn công vật lý 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy áo choàng tăng khéo léo 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy áo choàng tăng sinh lực 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy áo choàng tăng trí tuệ 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy áo choàng tăng may mắn 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy áo choàng tăng sức mạnh 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy áo choàng tăng nội lực 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy áo choàng tăng phòng thủ pháp thuật 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy áo choàng tăng phòng thủ vật lý 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy vuốt tăng tấn công vật lý 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy dao găm tăng tấn công vật lý 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy nỏ tăng tấn công vật lý 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy hoa tai tăng trí tuệ 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy hoa tai tăng khéo léo 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy hoa tai tăng phòng thủ 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy hoa tai tăng sinh lực 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy hoa tai tăng may mắn 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy mắt kính tăng chính xác 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy mắt kính tăng trí tuệ 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy phụ kiện mặt tăng né tránh 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy phụ kiện mặt tăng sinh lực 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy găng tay tăng khéo léo 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy găng tay tăng tấn công vật lý 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy găng tay tăng tấn công pháp thuật 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy găng tay tăng sinh lực 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy súng tăng tấn công vật lý 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy mũ tăng chính xác 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy mũ tăng khéo léo 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy mũ tăng sinh lực 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy mũ tăng phòng thủ 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy mũ tăng trí tuệ 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy găng đấm tăng chính xác 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy găng đấm tăng tấn công vật lý 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy rìu đơn tăng tấn công vật lý 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy búa đơn tăng tấn công vật lý 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy kiếm đơn tăng tấn công vật lý 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy áo toàn thân tăng khéo léo 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy áo toàn thân tăng phòng thủ 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy đại đao tăng tấn công vật lý 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy thương tăng chính xác 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy rìu đôi tăng tấn công vật lý 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy búa đôi tăng tấn công vật lý 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy kiếm đôi tăng tấn công vật lý 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy kiếm đơn tăng tấn công pháp thuật 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy kiếm đơn tăng chính xác 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy rìu đơn tăng chính xác 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy búa đơn tăng chính xác 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy áo toàn thân tăng trí tuệ 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy áo toàn thân tăng sức mạnh 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy khiên tăng phòng thủ 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy khiên tăng sinh lực 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy khiên tăng may mắn 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy giày tăng khéo léo 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy giày tăng lực nhảy 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy giày tăng tốc độ 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy trượng tăng tấn công pháp thuật 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy áo tăng sinh lực 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy áo tăng phòng thủ 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy áo tăng may mắn 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy áo tăng sức mạnh 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy rìu đôi tăng chính xác 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy búa đôi tăng chính xác 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy kiếm đôi tăng chính xác 30%,30%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy gậy phép tăng tấn công pháp thuật 30%,30%,,,Scroll,,Thánh địa nấm
Dark scroll for Hand Cannon for ATT 30%,30%,,,Scroll,,Thánh địa nấm
Áo choàng thần đất vàng,Tự vào game xem đi,8,LV: 65,Áo choàng,FULL,Thánh địa nấm
(Quỷ) Cuộn giấy quần tăng khéo léo 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy quần tăng lực nhảy 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy quần tăng sinh lực 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy cung tăng tấn công vật lý 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy áo choàng tăng khéo léo 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy áo choàng tăng sinh lực 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy áo choàng tăng trí tuệ 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy áo choàng tăng may mắn 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy áo choàng tăng sức mạnh 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy áo choàng tăng nội lực 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy áo choàng tăng phòng thủ pháp thuật 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy áo choàng tăng phòng thủ vật lý 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy dao găm tăng tấn công vật lý 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy nỏ tăng tấn công vật lý 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy hoa tai tăng trí tuệ 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy hoa tai tăng khéo léo 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy hoa tai tăng phòng thủ 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy hoa tai tăng sinh lực 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy hoa tai tăng may mắn 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy mắt kính tăng chính xác 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy mắt kính tăng trí tuệ 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy phụ kiện mặt tăng né tránh 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy phụ kiện mặt tăng sinh lực 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy găng tay tăng khéo léo 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy găng tay tăng tấn công vật lý 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy găng tay tăng tấn công pháp thuật 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy găng tay tăng sinh lực 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy súng tăng tấn công vật lý 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy mũ tăng chính xác 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy mũ tăng trí tuệ 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy găng đấm tăng chính xác 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy găng đấm tăng tấn công vật lý 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy rìu đơn tăng chính xác 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy rìu đơn tăng tấn công vật lý 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy búa đơn tăng tấn công vật lý 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy búa đơn tăng chính xác 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy kiếm đơn tăng tấn công pháp thuật 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy kiếm đơn tăng chính xác 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy kiếm đơn tăng tấn công vật lý 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy áo toàn thân tăng khéo léo 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy áo toàn thân tăng phòng thủ 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy áo toàn thân tăng trí tuệ 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy áo toàn thân tăng may mắn 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy áo toàn thân tăng sức mạnh 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy đại đao tăng tấn công vật lý 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy khiên tăng phòng thủ 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy khiên tăng sinh lực 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy khiên tăng may mắn 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy khiên tăng tấn công pháp thuật 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy giày tăng khéo léo 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy giày tăng lực nhảy 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy giày tăng tốc độ 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy trượng tăng tấn công pháp thuật 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy thương tăng chính xác 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy áo tăng sinh lực 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy áo tăng phòng thủ 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy áo tăng may mắn 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy áo tăng sức mạnh 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy rìu đôi tăng chính xác 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy búa đôi tăng chính xác 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy kiếm đôi tăng chính xác 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy rìu đôi tăng tấn công vật lý 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy búa đôi tăng tấn công vật lý 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy kiếm đôi tăng tấn công vật lý 70%,70%,,,Scroll,,Thánh địa nấm
(Quỷ) Cuộn giấy gậy phép tăng tấn công pháp thuật 70%,70%,,,Scroll,,Thánh địa nấm
Cuộn giấy tinh khiết 5%,,,,Scroll,,Thánh địa nấm
Advanced Equip Enhancement Scroll,,,,Scroll,,Thánh địa nấm
Găng tay bão tố,+ATT,5,LV: 50,Găng tay,FULL,Thánh địa nấm
Áo choàng thần đất tím,+M.ATT,5,LV: 65,Áo choàng,FULL,Thánh địa nấm
Gậy băng,Tự vào game xem đi,7,LV: 103,Vũ khí,Magician,Thánh địa nấm
Gậy phép cực độc,Tự vào game xem đi,7,LV: 130,Vũ khí,Magician,Thánh địa nấm
Kadomatsu,,,,Chair,,Thánh địa nấm
Resplendent Summer Night Chair,,,,Chair,,Thánh địa nấm
Ghế cà rốt đỏ,,,,Chair,,Thánh địa nấm
Bloody Rose,,,,Chair,,Thánh địa nấm
Thuốc tiên,,,,Use,,Suối nước nóng
Phô mai tan,,,,Use,,Suối nước nóng
thuốc tiên lớn,,,,Use,,Suối nước nóng
Dưa hấu,,,,Use,,Suối nước nóng
Cuộn giấy quần tăng khéo léo 100%,100%,,,Scroll,,Suối nước nóng
Cuộn giấy quần tăng lực nhảy 100%,100%,,,Scroll,,Suối nước nóng
Cuộn giấy quần tăng phòng thủ 100%,100%,,,Scroll,,Suối nước nóng
Cuộn giấy quần tăng sinh lực 100%,100%,,,Scroll,,Suối nước nóng
Cuộn giấy áo choàng tăng khéo léo 10%,10%,,,Scroll,,Suối nước nóng
Cuộn giấy áo choàng tăng may mắn 10%,10%,,,Scroll,,Suối nước nóng
Cuộn giấy hoa tai tăng sinh lực 10%,10%,,,Scroll,,Suối nước nóng
Cuộn giấy hoa tai tăng may mắn 100%,100%,,,Scroll,,Suối nước nóng
Cuộn giấy áo toàn thân tăng phòng thủ 100%,100%,,,Scroll,,Suối nước nóng
Cuộn giấy áo toàn thân tăng trí tuệ 100%,100%,,,Scroll,,Suối nước nóng
Cuộn giấy áo toàn thân tăng may mắn 100%,100%,,,Scroll,,Suối nước nóng
Cuộn giấy áo toàn thân tăng sức mạnh 100%,100%,,,Scroll,,Suối nước nóng
Cuộn giấy khiên tăng sức mạnh 10%,10%,,,Scroll,,Suối nước nóng
Cuộn giấy giày tăng khéo léo 100%,100%,,,Scroll,,Suối nước nóng
Cuộn giấy giày tăng tốc độ 100%,100%,,,Scroll,,Suối nước nóng
Cuộn giấy áo tăng phòng thủ 100%,100%,,,Scroll,,Suối nước nóng
Cuộn giấy áo tăng sinh lực 100%,100%,,,Scroll,,Suối nước nóng
Cuộn giấy áo tăng may mắn 100%,100%,,,Scroll,,Suối nước nóng
Cuộn giấy áo tăng sức mạnh 100%,100%,,,Scroll,,Suối nước nóng
Mặt nạ giận dữ,Tự vào game xem đi,7,Lười ghi bome,Phụ kiện mặt,FULL,Suối nước nóng
Lá phong đỏ,+INT,7,Lười ghi bome,Phụ kiện mặt,FULL,Suối nước nóng
Lá phong đỏ,+STR,7,Lười ghi bome,Phụ kiện mặt,FULL,Suối nước nóng
Lá phong đỏ,+DEX,7,Lười ghi bome,Phụ kiện mặt,FULL,Suối nước nóng
Lá phong đỏ,+LUK,7,Lười ghi bome,Phụ kiện mặt,FULL,Suối nước nóng
Mũ đỏ khúc côn cầu cũ,Tự vào game xem đi,7,Lười ghi bome,Mũ,FULL,Suối nước nóng
Găng tay lao động vàng,Tự vào game xem đi,5,Lười ghi bome,Găng tay,FULL,Suối nước nóng
Áo choàng đỏ rách rưới,Tự vào game xem đi,5,Lười ghi bome,Áo choàng,FULL,Suối nước nóng
Áo choàng hành trình vàng,Tự vào game xem đi,8,LV: 50,Áo choàng,FULL,Suối nước nóng
Cần câu cá,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,FULL,Suối nước nóng
Dù lục,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,FULL,Suối nước nóng
Ván trượt tuyết bạc,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,FULL,Suối nước nóng
Xương rồng thế giới thực,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,FULL,Suối nước nóng
Bản đồ Nhật bản,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,FULL,Suối nước nóng
Quạt nhật hoàng,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,FULL,Suối nước nóng
Đạn vĩnh cửu,Tự vào game xem đi,,,Đạn,Priate,Suối nước nóng
Phi tiêu hỏa tinh,Tự vào game xem đi,,,Phi tiêu,Thief,Suối nước nóng
Cuộn giấy hoa tai tăng trí tuệ 60%,60%,,,Scroll,,Suối nước nóng
Cuộn giấy mắt kính tăng trí tuệ 60%,60%,,,Scroll,,Suối nước nóng
Cuộn giấy phụ kiện mặt tăng né tránh 60%,60%,,,Scroll,,Suối nước nóng
Cuộn giấy găng tay tăng khéo léo 60%,60%,,,Scroll,,Suối nước nóng
Cuộn giấy găng tay tăng sinh lực 60%,60%,,,Scroll,,Suối nước nóng
Cuộn giấy găng tay tăng tấn công pháp thuật 60%,60%,,,Scroll,,Suối nước nóng
Cuộn giấy mũ tăng chính xác 60%,60%,,,Scroll,,Suối nước nóng
Cuộn giấy mũ tăng khéo léo 60%,60%,,,Scroll,,Suối nước nóng
Cuộn giấy mũ tăng trí tuệ 60%,60%,,,Scroll,,Suối nước nóng
Cuộn giấy kiếm đơn tăng tấn công pháp thuật 60%,60%,,,Scroll,,Suối nước nóng
Cuộn giấy khiên tăng sinh lực 60%,60%,,,Scroll,,Suối nước nóng
Cuộn giấy khiên tăng may mắn 60%,60%,,,Scroll,,Suối nước nóng
Cuộn giấy khiên tăng tấn công pháp thuật 60%,60%,,,Scroll,,Suối nước nóng
Cuộn giấy khiên tăng tấn công vật lý 60%,60%,,,Scroll,,Suối nước nóng
Cuộn giấy giày tăng lực nhảy 60%,60%,,,Scroll,,Suối nước nóng
Găng tay dạ quang đỏ,Tự vào game xem đi,5,Lười ghi bome,Găng tay,FULL,Suối nước nóng
Áo choàng lính ngự lâm lam,Tự vào game xem đi,5,Lười ghi bome,Áo choàng,FULL,Suối nước nóng
Bullseye board,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,FULL,Suối nước nóng
Đũa độc,Tự vào game xem đi,7,LV: 70,Vũ khí,Magician,Suối nước nóng
Phao hồng phấn (gậy),Tự vào game xem đi,7,Lười ghi bome,Vũ khí,Magician,Suối nước nóng
Dù đỏ,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,FULL,Suối nước nóng
Ván trượt tuyết xanh dương,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,FULL,Suối nước nóng
Chổi lau nhà màu trắng,Tự vào game xem đi,7,Lười ghi bome,Vũ khí,FULL,Suối nước nóng
Gậy phép bão sét,Tự vào game xem đi,7,LV: 130,Vũ khí,Magician,Suối nước nóng
Ghế biển,,,,Chair,,Suối nước nóng
Thuốc tiên,,,,Use,,Thành phố lá mới
Phô mai tan,,,,Use,,Thành phố lá mới
Thuốc tiên lớn,,,,Use,,Thành phố lá mới
Dưa hấu,,,,Use,,Thành phố lá mới
Cuộn giấy áo choàng tăng sinh lực 100%,100%,,,Scroll,,Thành phố lá mới
Cuộn giấy áo choàng tăng trí tuệ 100%,100%,,,Scroll,,Thành phố lá mới
Cuộn giấy áo choàng tăng khéo léo 100%,100%,,,Scroll,,Thành phố lá mới
Cuộn giấy áo choàng tăng may mắn 100%,100%,,,Scroll,,Thành phố lá mới
Cuộn giấy áo choàng tăng sức mạnh 100%,100%,,,Scroll,,Thành phố lá mới
Cuộn giấy áo choàng tăng phòng thủ vật lý 100%,100%,,,Scroll,,Thành phố lá mới
Cuộn giấy hoa tai tăng phòng thủ 100%,100%,,,Scroll,,Thành phố lá mới
Cuộn giấy hoa tai tăng khéo léo 10%,10%,,,Scroll,,Thành phố lá mới
Cuộn giấy hoa tai tăng sinh lực 10%,10%,,,Scroll,,Thành phố lá mới
Cuộn giấy hoa tai tăng trí tuệ 10%,10%,,,Scroll,,Thành phố lá mới
Cuộn giấy hoa tai tăng may mắn 10%,10%,,,Scroll,,Thành phố lá mới
Cuộn giấy mắt kính tăng chính xác 10%,10%,,,Scroll,,Thành phố lá mới
Cuộn giấy mắt kính tăng trí tuệ 10%,10%,,,Scroll,,Thành phố lá mới
Cuộn giấy phụ kiện mặt tăng né tránh 10%,10%,,,Scroll,,Thành phố lá mới
Cuộn giấy phụ kiện mặt tăng sinh lực 10%,10%,,,Scroll,,Thành phố lá mới
Cuộn giấy găng tay tăng sinh lực 10%,10%,,,Scroll,,Thành phố lá mới
Cuộn giấy găng tay tăng tấn công pháp thuật 100%,100%,,,Scroll,,Thành phố lá mới
Cuộn giấy mũ tăng chính xác 100%,100%,,,Scroll,,Thành phố lá mới
Cuộn giấy mũ tăng khéo léo 10%,10%,,,Scroll,,Thành phố lá mới
Cuộn giấy mũ tăng trí tuệ 10%,10%,,,Scroll,,Thành phố lá mới
Cuộn giấy áo toàn thân tăng khéo léo 10%,10%,,,Scroll,,Thành phố lá mới
Cuộn giấy áo toàn thân tăng may mắn 10%,10%,,,Scroll,,Thành phố lá mới
Cuộn giấy khiên tăng phòng thủ 10%,10%,,,Scroll,,Thành phố lá mới
Cuộn giấy khiên tăng sinh lực 10%,10%,,,Scroll,,Thành phố lá mới
Cuộn giấy khiên tăng may mắn 10%,10%,,,Scroll,,Thành phố lá mới
Cuộn giấy khiên tăng tấn công pháp thuật 10%,10%,,,Scroll,,Thành phố lá mới
Cuộn giấy khiên tăng tấn công vật lý 10%,10%,,,Scroll,,Thành phố lá mới
